filename,Solve,Parse,ProofTerm,Steps
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/10-vars/cut_lemma_02_010.smt2.slack.smt2,0.030,0.592,Proofterm: 1.023,41,2022-05-08 12:06:55
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/10-vars/cut_lemma_02_005.smt2.slack.smt2,0.029,0.887,Proofterm: 1.483,68,2022-05-08 12:06:55
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/10-vars/cut_lemma_02_003.smt2.slack.smt2,0.028,0.736,Proofterm: 1.066,41,2022-05-08 12:06:55
../smt-lib/QF_LIA/fft/Sz64_1159.smt2,0.098,4.563,Proofterm: 72.684,2754,2022-05-08 12:08:10
../smt-lib/QF_LIA/fft/Sz32_455.smt2,0.420,6.438,Proofterm: 160.442,6239,2022-05-08 12:09:40
../smt-lib/QF_LIA/CIRC/simplebitadder/SIMPLEBITADDER_COMPOSE_4.msat.smt2,0.098,3.815,Error: ../smt-lib/QF_LIA/CIRC/simplebitadder/SIMPLEBITADDER_COMPOSE_4.msat.smt2 currently lia_generic is not supported 10.46686392405536,2285,2022-05-08 12:07:07
../smt-lib/QF_LIA/CIRC/simplebitadder/SIMPLEBITADDER_COMPOSE_6.msat.smt2,1.489,9.144,Error: ../smt-lib/QF_LIA/CIRC/simplebitadder/SIMPLEBITADDER_COMPOSE_6.msat.smt2 currently lia_generic is not supported 13.890793206985109,22686,2022-05-08 12:07:18
../smt-lib/QF_LIA/CIRC/simplebitadder/SIMPLEBITADDER_COMPOSE_8.msat.smt2,114.897,PARSING ERROR (HolPy) Timeout,,,2022-05-08 12:09:55
../smt-lib/QF_LIA/CIRC/simplebitadder/SIMPLEBITADDER_COMPOSE_5.msat.smt2,0.327,4.752,Error: ../smt-lib/QF_LIA/CIRC/simplebitadder/SIMPLEBITADDER_COMPOSE_5.msat.smt2 currently lia_generic is not supported 15.636423157062382,6562,2022-05-08 12:07:14
../smt-lib/QF_LIA/CIRC/simplebitadder/SIMPLEBITADDER_COMPOSE_2.msat.smt2,0.039,2.667,Proofterm: 9.803,571,2022-05-08 12:07:05
../smt-lib/QF_LIA/CIRC/simplebitadder/SIMPLEBITADDER_COMPOSE_7.msat.smt2,9.482,27.972,Error: ../smt-lib/QF_LIA/CIRC/simplebitadder/SIMPLEBITADDER_COMPOSE_7.msat.smt2 currently lia_generic is not supported 24.770600595977157,84439,2022-05-08 12:07:57
../smt-lib/QF_LIA/CIRC/simplebitadder/SIMPLEBITADDER_COMPOSE_3.msat.smt2,0.043,3.123,Error: ../smt-lib/QF_LIA/CIRC/simplebitadder/SIMPLEBITADDER_COMPOSE_3.msat.smt2 currently lia_generic is not supported 17.88894989306573,1022,2022-05-08 12:07:14
../smt-lib/QF_LIA/CIRC/multiplier/MULTIPLIER_5.msat.smt2,0.380,4.472,Proofterm: 192.194,5669,2022-05-08 12:10:10
../smt-lib/QF_LIA/CIRC/multiplier/MULTIPLIER_7.msat.smt2,12.856,37.067,Error: ../smt-lib/QF_LIA/CIRC/multiplier/MULTIPLIER_7.msat.smt2 Timeout 300.14216418995056,86190,2022-05-08 12:12:46
